Artikel;Qty
986028;36
31478226;6
39794580;2
39794571;2
39845658;4
39794577;4
39796570;1
39796573;1
39796583;1
39796586;1
39846591;1
39846606;1
32142579;7
31476087;6
39796571;2
39796584;2
31109273;12
39794583;2
39796562;2
39796575;2
31476093;8
31677939;10
31677940;10
39847348;1
39847350;1
32265797;2
30640579;189
30622821;440
31658914;4
30640541;390
39794538;4
39845666;4
39794532;14
32311049;7
39796561;1
39796574;1
39794540;4
39846589;4
39846594;1
39846604;4
39846609;1
39794067;5
39794083;5
39845664;4
39796564;2
39796566;1
39796577;2
39796579;1
31385130;4
31476091;6
32221926;2
32221867;1
32221868;1
31430490;7
30747597;1
30747598;1
31445850;2
31349836;1
39845690;8
31478225;4
39845694;4
31385129;4
39845654;18
31416843;2
31416844;2f
32219076;7
31699862;3
31699863;3
39794069;1
39794085;1
32142516;3
39794063;1
39794079;1
31349837;1
31658982;4
39791514;2
39791550;2
30776072;1330
32221870;1
32221871;1
39794066;4
39794082;4
39794537;4
39794072;2
39794088;2
39794061;5
39794077;5
39794076;1
39794092;1
39791542;1
39791578;1
32219075;7
39846593;7
39846608;7
39846592;16
39846607;16
32244260;3
32244264;3
32244291;5
32244293;5
39794534;12
31657341;9
39846582;11
39846597;11
31476092;12
39796977;1
31688050;4
31688051;4
32219078;3
32222270;9
31658002;4
39794531;22
39794528;10
39796975;2
31699872;3
31699873;3
31699874;3
31699875;3
31476664;6
39794543;6
31370120;7
39796974;1
39845648;14
39794533;4
32219077;3
31681018;6
31497047;2
39845688;24
31477126;27
31699860;3
31699861;3
32142523;7
32237254;4
32237255;4
32237256;4
32237257;4
32237258;4
32237259;4
39794068;1
39794084;1
39846587;7
39846602;7
32244259;7
32244263;7
39794526;42
31476276;27
31681639;14
31478219;4
39846585;13
39846600;13
32237252;4
32237253;4
39846588;12
39846603;12
31463945;1
31663907;6
31663908;6
31367203;3
39845700;4
39834149;5
32244529;1
32239085;3
32269440;4
39790377;1
39790407;1
32289727;5
32244292;5
32244294;5
32246742;10
31476665;2
31499875;3
30747591;3
30747592;3
31681720;2
31681721;2
31426652;3
31681526;6
39790391;2
39790421;2
32289718;2
39845676;52
31349833;29
39791530;1
39791566;1
39796965;3
31425181;5
31425182;5
32289723;11
39790389;1
39790419;1
31369793;8
39835262;4
39835268;4
31455534;8
31658981;16
32260437;1
31395050;4
31699132;1
39836705;8
39836707;8
31690808;24
32130259;1
32209487;20
31463138;1
31658917;12
32289720;4
32228747;3
39845670;56
31455634;27
31455635;27
31349832;29
31383924;73
31425176;1
31425177;1
39796968;2
32292485;5
31476090;6
32348065;1
32282782;10
31484164;5
32237455;4
39790375;2
39790405;2
39835261;4
39835267;4
32138998;52
31437627;6
31469699;16
31386130;8
31478801;9
31372291;1
31681310;29
32209857;64
30747603;28
30747604;28
39796970;1
31455648;11
31455649;11
39790387;2
39790417;2
31690431;8
31690432;8
31478221;10
31658529;2
31658530;2
31455624;6
39845686;80
31658162;6
31658163;6
31499883;2
31478222;10
32130255;10
31467102;2
32209488;32
31492149;6
31398648;8
32233132;1
39835214;4
39835216;4
32233122;2
39845698;46
32142520;10
39834150;5
32269447;6
31476274;81
31360837;14
31694712;3
31476302;21
31476086;14
31407660;101
31478224;26
31449133;14
31449134;14
32288458;1
32133814;7
31416859;16
31416860;16
31658473;8
32219074;69
31377912;6
31449246;104
31449247;104
31455640;1
31455641;1
31658541;8
31442299;101
32246753;9
32246754;9
39790395;2
39790425;2
31476670;28
31387216;6
31387217;6
39790369;4
39790399;4
32132600;104
32132222;1
32291277;3
31663906;6
39827548;3
32265662;8
31430417;12
39845682;78
39835213;4
39835215;4
32227004;3
32287396;1
31663023;81
31463131;9
31383344;8
32132212;3
32288454;3
31492158;50
31670033;52
31682225;2
31682226;2
31420046;35
32219073;69
39790381;1
39790411;1
31377749;8
31418712;8
32205827;8
39795385;3
39795394;3
32260645;9
32133776;7
31492051;12
31418710;35
31418710;35
